9060	1	2450
9061	0	0
9062	0	0
9063	0	0
9064	0	0
9065	1	2608
9066	0	0
9067	0	0
9068	0	0
9069	1	2543
9070	1	2314
9071	0	0
9072	0	0
9073	0	0
9074	0	0
9075	1	2347
9076	0	0
3004	0	0
9077	1	2244
9078	0	0
9079	0	0
9080	0	0
9081	1	1850
9082	0	0
9083	0	0
9084	0	0
9085	0	0
9086	0	0
9087	0	0
9088	1	1762
9089	0	0
9090	0	0
9091	0	0
9092	1	1728
9093	0	0
9094	1	1614
9095	0	0
9096	0	0
9097	0	0
2171	0	0
9098	1	2003
2167	0	0
9099	1	1708
9100	0	0
9101	0	0
9102	1	1552
9103	0	0
9104	1	1729
2014	1	1616
9105	0	0
9106	0	0
9107	0	0
9108	1	1706
9109	0	0
2448	0	0
9110	1	1822
9111	0	0
9112	0	0
9113	0	0
2613	0	0
9114	1	2036
9115	0	0
9116	0	0
9117	0	0
9118	1	2063
2801	0	0
9119	0	0
3162	1	2391
9120	0	0
2992	1	2200
9121	0	0
9122	1	2518
9123	1	2581
9124	0	0
9125	0	0
9126	0	0
9127	1	2582
9128	0	0
9129	0	0
9130	0	0
9131	1	2845
3913	0	0
9132	0	0
9133	1	2736
9134	0	0
9135	0	0
